"Chapter","Verse_Number","Text","Text_clean"
4,22,"Fi l-cheyy al-bukhuss al-haal al-intu awwal aaychiin beeha, simi’tu laazim tikhalluuha minku marra waahid wa ma titaabu’u battaan chahwat guluubku al-gadiime. Awwal chahwatku di khachchatku wa tallafat guluubku.","fi lcheyy albukhuss alhaal alintu awwal aaychiin beeha simitu laazim tikhalluuha minku marra waahid wa ma titaabuu battaan chahwat guluubku algadiime awwal chahwatku di khachchatku wa tallafat guluubku"
4,23,"Wa simi’tu laazim talgo min Allah al-agul al-jadiid","wa simitu laazim talgo min allah alagul aljadiid"
4,24,"wa laazim tichiilu minnah al-galib al-jadiid wa tabgo naas judaad al-tichaabuhu Allah fi haalku. Khalli haalku tabga adiile wa saalhe be l-sahiih.","wa laazim tichiilu minnah algalib aljadiid wa tabgo naas judaad altichaabuhu allah fi haalku khalli haalku tabga adiile wa saalhe be lsahiih"
4,25,"Wa achaan da, abadan ma takdubu. Khalli ayyi waahid yihajji le akhuuh be kalaam sahiih achaan aniina kullina waahid.","wa achaan da abadan ma takdubu khalli ayyi waahid yihajji le akhuuh be kalaam sahiih achaan aniina kullina waahid"
4,26,"Kan zi’iltu ma takhto. Barrudu guluubku gubbaal al-harraay ma taga’.","kan ziiltu ma takhto barrudu guluubku gubbaal alharraay ma taga"
4,27,"Ma tantu fursa le Ibliis.","ma tantu fursa le ibliis"
4,28,"Kan naadum awwal sarraag, khalli ma yasrig battaan. Fi badal al-sirge, khalli yakhdim be wakharah wa duraa’ah. Wa misil da, min ujurtah yagdar yakrub nafsah wa yisaa’id al-naas al-muhtaajiin.","kan naadum awwal sarraag khalli ma yasrig battaan fi badal alsirge khalli yakhdim be wakharah wa duraaah wa misil da min ujurtah yagdar yakrub nafsah wa yisaaid alnaas almuhtaajiin"
4,29,"Abadan ma tihajju kalaam cheen. Waajib tihajju daayman kalaam sameh al-yigawwi al-naas wa l-kalaam al-muwaafig leehum achaan yabga baraka le l-naas al-yasma’ooh.","abadan ma tihajju kalaam cheen waajib tihajju daayman kalaam sameh alyigawwi alnaas wa lkalaam almuwaafig leehum achaan yabga baraka le lnaas alyasmaooh"
4,30,"Ma tihajju be kalaam fasil achaan kalaam fasil yiwaji’ al-Ruuh al-Khudduus al-Allah nazzalah foogku. Hu al-wasim al-Allah yi’akkid beyah kadar fi l-yoom al-akhiir Allah yafdaaku marra waahid.","ma tihajju be kalaam fasil achaan kalaam fasil yiwaji alruuh alkhudduus alallah nazzalah foogku hu alwasim alallah yiakkid beyah kadar fi lyoom alakhiir allah yafdaaku marra waahid"
4,31,"Khalli al-za’al wa l-khabiine wa l-khadab wa l-huraaj wa l-gatii’e yabgo ma fiihum ambeenaatku wa khallu minku al-hasiife.","khalli alzaal wa lkhabiine wa lkhadab wa lhuraaj wa lgatiie yabgo ma fiihum ambeenaatku wa khallu minku alhasiife"
4,32,"Sawwu al-zeen le ayyi naadum wa alhaanano. Wa assaamaho ambeenaatku misil Allah saamahaaku wakit najjaaku be l-Masiih.","sawwu alzeen le ayyi naadum wa alhaanano wa assaamaho ambeenaatku misil allah saamahaaku wakit najjaaku be lmasiih"
5,1,"Intu iyaal Allah al-yihibbuku wa achaan da, khalli haalku tabga misil haalah.","intu iyaal allah alyihibbuku wa achaan da khalli haalku tabga misil haalah"
5,2,"Iichu be l-mahabba al-misil mahabbat al-Masiih al-yihibbina lahaddi fadaana be ruuhah wa bigi misil hadiiye le Allah wa misil dahiiye al-tiraddi Allah.","iichu be lmahabba almisil mahabbat almasiih alyihibbina lahaddi fadaana be ruuhah wa bigi misil hadiiye le allah wa misil dahiiye altiraddi allah"
5,3,"Laakin al-zina wa l-haal al-cheene wa l-tama’ khalli yabgo ma fiihum ambeenaatku marra waahid. Wa ma tihajju fooghum zaatah. Dool ma af’aal hana l-naas al-saalihiin.","laakin alzina wa lhaal alcheene wa ltama khalli yabgo ma fiihum ambeenaatku marra waahid wa ma tihajju fooghum zaatah dool ma afaal hana lnaas alsaalihiin"
5,4,"Abadan ma tihajju kalaam cheen wa la kalaam hana l-safaaha wa abadan ma tal’abo ambeenaatku be kalaam fasil. Kulla l-kalaam al-misil da ma waajib. Fi badalah, hajju be chukur.","abadan ma tihajju kalaam cheen wa la kalaam hana lsafaaha wa abadan ma talabo ambeenaatku be kalaam fasil kulla lkalaam almisil da ma waajib fi badalah hajju be chukur"
5,5,"Ni’akkid leeku kan naadum zannaay walla nijis walla tammaa’, hu ma yalga cheyy fi Mamlakat Allah wa l-Masiih. Al-tama’ hu misil ibaadat al-asnaam.","niakkid leeku kan naadum zannaay walla nijis walla tammaa hu ma yalga cheyy fi mamlakat allah wa lmasiih altama hu misil ibaadat alasnaam"
5,6,"Ma tikhallu naadum yukhuchchuku be kalaam baatil. Be sabab al-zunuub al-misil dool, Allah yinazzil khadabah foog al-aasiyiin.","ma tikhallu naadum yukhuchchuku be kalaam baatil be sabab alzunuub almisil dool allah yinazzil khadabah foog alaasiyiin"
5,7,"Achaan da, ma tichaarukuuhum fi haalhum.","achaan da ma tichaarukuuhum fi haalhum"
5,8,"Awwal intu bas al-dalaam wa laakin hassa’ bigiitu nuur be alaakhitku ma’a l-Rabb. Iichu be l-haal al-waajbe le ahal al-nuur.","awwal intu bas aldalaam wa laakin hassa bigiitu nuur be alaakhitku maa lrabb iichu be lhaal alwaajbe le ahal alnuur"
5,9,"Achaan nuur Allah yijiib al-kheer wa l-haal al-saalhe wa l-hagg wa hu yimagginhum fi guluub al-naas.","achaan nuur allah yijiib alkheer wa lhaal alsaalhe wa lhagg wa hu yimagginhum fi guluub alnaas"
5,10,"A’arfu tamaam al-cheyy al-yiraddi al-Rabb.","aarfu tamaam alcheyy alyiraddi alrabb"
5,11,"Ma tichaaruku fi amal hana ahal al-dalaam al-ma yimaggin cheyy adiil. Akheer afdaho al-cheyy al-humman gaa’idiin yisawwuuh.","ma tichaaruku fi amal hana ahal aldalaam alma yimaggin cheyy adiil akheer afdaho alcheyy alhumman gaaidiin yisawwuuh"
5,12,"Achaan al-cheyy al-humman gaa’idiin yisawwuuh be talbiid cheen bilheen lahaddi nakhjalo kan nihajju beyah.","achaan alcheyy alhumman gaaidiin yisawwuuh be talbiid cheen bilheen lahaddi nakhjalo kan nihajju beyah"
5,13,"Achaan ayyi cheyy kan ankachaf fi l-nuur khalaas yinchaaf.","achaan ayyi cheyy kan ankachaf fi lnuur khalaas yinchaaf"
5,14,"Wa ayyi cheyy al-yinchaaf yin’arif be l-sahiih. Achaan da, nuguulu «He ya l-naayim, gumm foog ! Gumm min ust al-maytiin wa l-Masiih yidaawi foogak».","wa ayyi cheyy alyinchaaf yinarif be lsahiih achaan da nuguulu he ya lnaayim gumm foog gumm min ust almaytiin wa lmasiih yidaawi foogak"
5,15,"Fakkuru tamaam fi haalku. Ma ti’iichu be haal al-jaahiliin laakin be haal al-faahimiin.","fakkuru tamaam fi haalku ma tiiichu be haal aljaahiliin laakin be haal alfaahimiin"
5,16,"Sawwu al-kheer be kulla daliil achaan al-zaman al-gaa’idiin foogah da fasil.","sawwu alkheer be kulla daliil achaan alzaman algaaidiin foogah da fasil"
5,17,"Ma tabgo mataamiis laakin afhamo muraadat al-Rabb.","ma tabgo mataamiis laakin afhamo muraadat alrabb"
5,18,"Ma taskaro be l-khamar achaan al-khamar yisabbib illa l-kharaab. Laakin khalli Allah yamlaaku be l-Ruuh al-Khudduus.","ma taskaro be lkhamar achaan alkhamar yisabbib illa lkharaab laakin khalli allah yamlaaku be lruuh alkhudduus"
5,19,"Achchaaja’o ambeenaatku be tasaabiih wa anaachiid wa madih min al-Ruuh al-Khudduus. Sabbuhu wa amdaho le Rabbina be niiye waahide.","achchaajao ambeenaatku be tasaabiih wa anaachiid wa madih min alruuh alkhudduus sabbuhu wa amdaho le rabbina be niiye waahide"
5,20,"Achkuru Allah Abuuna fi kulla wakit wa fi kulla cheyy be usum Rabbina Isa al-Masiih.","achkuru allah abuuna fi kulla wakit wa fi kulla cheyy be usum rabbina isa almasiih"
5,21,"Abgo daluuliin ambeenaatku wa khalli ayyi waahid yikarrim al-aakhar fi chaan al-Masiih.","abgo daluuliin ambeenaatku wa khalli ayyi waahid yikarrim alaakhar fi chaan almasiih"
5,22,"Asma’o ya l-awiin, khalli ayyi mara tikarrim raajilha misil hi tikarrim al-Rabb.","asmao ya lawiin khalli ayyi mara tikarrim raajilha misil hi tikarrim alrabb"
5,23,"Achaan al-raajil hu ra’iis martah misil al-Masiih hu ra’iis ummatah. Wa ummatah hi jismah wa hu zaatah Munajji jismah.","achaan alraajil hu raiis martah misil almasiih hu raiis ummatah wa ummatah hi jismah wa hu zaatah munajji jismah"
5,24,"Wa misil ummat al-Masiih tikarrim al-Masiih, khalli kulla mara tikarrim raajilha fi kulla cheyy.","wa misil ummat almasiih tikarrim almasiih khalli kulla mara tikarrim raajilha fi kulla cheyy"
5,25,"Asma’o ya l-rujaal, hibbu awiinku misil al-Masiih yihibb ummatah al-fadaaha be ruuhah","asmao ya lrujaal hibbu awiinku misil almasiih yihibb ummatah alfadaaha be ruuhah"
5,26,"achaan hi tabga umma saalhe. Hu naddafaaha be khattisiin fi almi wa be kalaam Allah","achaan hi tabga umma saalhe hu naddafaaha be khattisiin fi almi wa be kalaam allah"
5,27,"achaan yigaddimha le nafsah umma samhe bilheen bala najaasa wa la wasakh wa la ayyi cheyy al-bitallifha lahaddi tabga khaassa leyah wa bala ayyi eeb.","achaan yigaddimha le nafsah umma samhe bilheen bala najaasa wa la wasakh wa la ayyi cheyy albitallifha lahaddi tabga khaassa leyah wa bala ayyi eeb"
5,28,"Wa kulla raajil waajib yihibb martah misil yihibb jildah. Al-yihibb martah yihibb nafsah.","wa kulla raajil waajib yihibb martah misil yihibb jildah alyihibb martah yihibb nafsah"
5,29,"Abadan ma fi raajil al-yakrah laham jismah. Be l-aks, hu yi’ayyichah wa yirayyisah misil al-Masiih yirayyis ummatah.","abadan ma fi raajil alyakrah laham jismah be laks hu yiayyichah wa yirayyisah misil almasiih yirayyis ummatah"
5,30,"Wa ayyi waahid minnina udu min jismah.","wa ayyi waahid minnina udu min jismah"
5,31,"Wa l-Kitaab buguul ‹Fi l-sabab da, ayyi raajil yikhalli ammah wa abuuh wa yilimm ma’a martah wa l-naaseen dool yabgo jisim waahid›.","wa lkitaab buguul fi lsabab da ayyi raajil yikhalli ammah wa abuuh wa yilimm maa martah wa lnaaseen dool yabgo jisim waahid"
5,32,"Al-kalaam da sirr aziim. Ana nuguul leeku al-kalaam da bukhuss al-Masiih wa ummatah.","alkalaam da sirr aziim ana nuguul leeku alkalaam da bukhuss almasiih wa ummatah"
5,33,"Wa bukhussuku intu kula. Khalli ayyi raajil minku yihibb martah misil yihibb nafsah wa ayyi mara waajib tikarrim raajilha.","wa bukhussuku intu kula khalli ayyi raajil minku yihibb martah misil yihibb nafsah wa ayyi mara waajib tikarrim raajilha"
